Subject,number,title,crn,credits,capacity,availability,days,startTime,endTime,instructor
ACCT,209,SURVEY OF ACCT PRIN,10001,3,430,0,T,08:00 am,09:15 am,Mary K. Stasny (P)
ACCT,209,SURVEY OF ACCT PRIN,10001,3,430,0,R,07:15 pm,09:00 pm,Mary K. Stasny (P)
ACCT,209,SURVEY OF ACCT PRIN,10001,3,430,0,T,06:00 pm,08:00 pm,Mary K. Stasny (P)
ACCT,209,SURVEY OF ACCT PRIN,10002,3,430,0,R,08:00 am,09:15 am,Mary K. Stasny (P)
ACCT,209,SURVEY OF ACCT PRIN,10002,3,430,0,R,07:15 pm,09:00 pm,Mary K. Stasny (P)
ACCT,209,SURVEY OF ACCT PRIN,10002,3,430,0,T,06:00 pm,08:00 pm,Mary K. Stasny (P)
ACCT,209,SURVEY OF ACCT PRIN,27822,3,25,0,T,08:00 am,09:15 am,Mary K. Stasny (P)
ACCT,209,SURVEY OF ACCT PRIN,27822,3,25,0,R,07:15 pm,09:00 pm,Mary K. Stasny (P)
ACCT,209,SURVEY OF ACCT PRIN,27822,3,25,0,T,06:00 pm,08:00 pm,Mary K. Stasny (P)
ACCT,209,SURVEY OF ACCT PRIN,27824,3,25,0,R,08:00 am,09:15 am,Mary K. Stasny (P)
ACCT,209,SURVEY OF ACCT PRIN,27824,3,25,0,R,07:15 pm,09:00 pm,Mary K. Stasny (P)
ACCT,209,SURVEY OF ACCT PRIN,27824,3,25,0,T,06:00 pm,08:00 pm,Mary K. Stasny (P)
ACCT,210,MGRL & COST ACCT PRIN,27159,3,50,0,TR,08:00 am,09:15 am,Robert Strawser (P)
ACCT,210,MGRL & COST ACCT PRIN,27160,3,50,-1,TR,09:35 am,10:50 am,Robert Strawser (P)
ACCT,229,HNR-INTRO ACCOUNTING,10003,3,0,-22,TR,09:35 am,10:50 am,James Benjamin (P)
ACCT,229,HNR-INTRO ACCOUNTING,10004,3,0,-13,W,03:00 pm,05:30 pm,Jerry R. Strawser (P)
ACCT,229,INTRO ACCOUNTING,10005,3,55,0,TR,11:10 am,12:25 pm,Jeannie Barrett (P)
ACCT,229,INTRO ACCOUNTING,10005,3,55,0,T,07:15 pm,09:00 pm,Jeannie Barrett (P)
ACCT,229,INTRO ACCOUNTING,10006,3,55,0,TR,12:45 pm,02:00 pm,Jeannie Barrett (P)
ACCT,229,INTRO ACCOUNTING,10006,3,55,0,T,07:15 pm,09:00 pm,Jeannie Barrett (P)
ACCT,229,INTRO ACCOUNTING,10007,3,55,0,TR,02:20 pm,03:35 pm,Jeannie Barrett (P)
ACCT,229,INTRO ACCOUNTING,10007,3,55,0,T,07:15 pm,09:00 pm,Jeannie Barrett (P)
ACCT,229,INTRO ACCOUNTING,25071,3,126,0,TR,03:55 pm,05:10 pm,Jacqueline D. Knoop (P)
ACCT,229,INTRO ACCOUNTING,25071,3,126,0,T,07:15 pm,09:00 pm,Jacqueline D. Knoop (P)
ACCT,229,INTRO ACCOUNTING,16481,3,55,0,MWF,11:30 am,12:20 pm,Morgan E. Clarke (P)
