Room, startTime, endTime , days, capacity
WCBA 113, 08:00 am, 09:15 am, T,430
WCBA 113, 07:15 pm, 09:00 pm, R,430
WCBA 113, 06:00 pm, 08:00 pm, T,430
WCBA 113, 08:00 am, 09:15 am, R,430
WCBA 113, 08:00 am, 09:15 am, T,25
WCBA 113, 07:15 pm, 09:00 pm, R,25
WCBA 113, 06:00 pm, 08:00 pm, T,25
WCBA 113, 08:00 am, 09:15 am, R,25
WCBA 161, 08:00 am, 09:15 am, TR,50
WCBA 161, 09:35 am, 10:50 am, TR,50
WCBA 155, 09:35 am, 10:50 am, TR,0
WCBA 304, 03:00 pm, 05:30 pm, W,0
WCBA 161, 11:10 am, 12:25 pm, TR,55
WCBA 161, 07:15 pm, 09:00 pm, T,55
WCBA 161, 12:45 pm, 02:00 pm, TR,55
WCBA 161, 02:20 pm, 03:35 pm, TR,55
WCBA 161, 03:55 pm, 05:10 pm, TR,126
WCBA 161, 07:15 pm, 09:00 pm, T,126
WCBA 161, 11:30 am, 12:20 pm, MWF,55
WCBA 161, 09:10 am, 10:00 am, MWF,55
WCBA 161, 10:20 am, 11:10 am, MWF,55
WCBA 107, 04:10 pm, 05:25 pm, MW,0
WCBA 107, 07:15 pm, 09:15 pm, T,0
WCBA 155, 08:00 am, 09:15 am, MW,55
WCBA 155, 07:15 pm, 09:00 pm, T,55
WCBA 462, 11:10 am, 12:25 pm, MW,38
WCBA 462, 07:15 pm, 09:00 pm, T,38
WCBA 462, 09:35 am, 10:50 am, MW,38
WCBA 104, 12:45 pm, 02:00 pm, TR,36
WCBA 104, 07:15 pm, 09:00 pm, T,36
WCBA 104, 06:00 pm, 08:00 pm, M,36
WCBA 114, 09:35 am, 10:50 am, R,190
WCBA 114, 07:15 pm, 09:00 pm, T,190
WCBA 114, 06:00 pm, 08:00 pm, M,190
WCBA 114, 11:10 am, 12:25 pm, R,190
WCBA 105, 08:00 am, 08:50 am, MWF,35
WCBA 105, 07:15 pm, 09:15 pm, T,35
WCBA 105, 07:15 pm, 09:15 pm, M,35
WCBA 105, 09:10 am, 10:00 am, MWF,35
WCBA 105, 10:20 am, 11:10 am, MWF,35
WCBA 105, 11:30 am, 12:20 pm, MWF,35
WCBA 105, 12:40 pm, 01:30 pm, MWF,35
WCBA 105, 01:50 pm, 02:40 pm, MWF,35
WCBA 105, 03:00 pm, 03:50 pm, MWF,35
WCBA 104, 08:00 am, 09:15 am, TR,35
WCBA 104, 07:15 pm, 09:15 pm, T,35
WCBA 104, 09:35 am, 10:50 am, TR,35
WCBA 104, 11:10 am, 12:25 pm, TR,35
WCBA 104, 09:35 am, 10:50 am, MW,45
WCBA 104, 07:15 pm, 09:15 pm, T,45
WCBA 104, 07:15 pm, 09:15 pm, M,45
WCBA 104, 11:10 am, 12:25 pm, MW,45
